,Neighbour ID,Appliance ID,Market Iteration,Request Iteration,Request ID,Log Location,Queue Position,Request Fairness,Market Start Time,Market End Time,Earliest Start Time,Beginning of Latest Running Period,Request Power,Request Duration,Ever Tried Satisfy Request,Request Acceptance,Accepted Start Time,Accepted End Time,Request Cost,Neighbour Fairness,Neighbour Total Energy Desired,Neighbour Total Energy Delivered,Request Total Energy Desired,Request Total Energy Delivered,Request Type,Processed Time,Neighbour Fairness Series
57,84,172,1,1,841722021-12-17 12:00:00,queue,80,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 12:00:00,2021-12-17 13:00:00,2.0,0 days 00:30:00,True,True,2021-12-17 13:00:00,2021-12-17 13:30:00,478.89,0.29,56.0,16.0,1.0,1.0,basic,1717366054.3600261,"[0, 0.0, 0.0, 0.05, 0.07, 0.13, 0.26, 0.25, 0.29]"
58,30,95,1,1,30952021-12-17 15:30:00,queue,60,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 15:30:00,2021-12-17 16:00:00,1.75,0 days 00:30:00,True,True,2021-12-17 16:00:00,2021-12-17 16:30:00,431.72,0.47,16.75,7.875,0.875,0.875,basic,1717366054.364853,"[0, 0.09, 0.47]"
59,79,425,1,1,794252021-12-17 13:00:00,queue,103,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 13:00:00,2021-12-17 13:30:00,7.25,0 days 00:30:00,True,False,,,,0.79,86.5,68.5,3.625,0.0,premium,1717366054.368059,"[1.0, 1.0, 1.0, 0.95, 0.9, 0.9, 0.86, 0.86, 0.81, 0.77, 0.78, 0.79]"
60,75,136,1,1,751362021-12-17 19:30:00,queue,84,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 19:30:00,2021-12-17 20:30:00,1.75,0 days 01:00:00,True,True,2021-12-17 20:00:00,2021-12-17 21:00:00,1285.25,1.0,9.5,9.5,1.75,1.75,premium,1717366054.3718588,"[1.0, 1.0, 1.0]"
61,60,64,1,1,60642021-12-17 13:30:00,queue,29,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 13:30:00,2021-12-17 15:30:00,1.25,0 days 02:00:00,True,True,2021-12-17 13:30:00,2021-12-17 15:30:00,2898.5,0.46,12.0,5.5,2.5,2.5,premium,1717366054.377594,"[0, 0.32, 0.46]"
62,4,261,1,1,42612021-12-17 11:30:00,queue,3,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 11:30:00,2021-12-17 12:30:00,3.25,0 days 01:00:00,True,True,2021-12-17 12:00:00,2021-12-17 13:00:00,2018.67,0.3,70.5,21.0,3.25,3.25,premium,1717366054.381692,"[0, 0.0, 0.27, 0.25, 0.24, 0.28, 0.29, 0.3]"
63,79,422,1,1,794222021-12-17 08:30:00,queue,24,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 08:30:00,2021-12-17 09:00:00,6.25,0 days 00:30:00,True,True,2021-12-17 09:00:00,2021-12-17 09:30:00,1462.19,0.79,86.5,68.5,3.125,3.125,premium,1717366054.384536,"[1.0, 1.0, 1.0, 0.95, 0.9, 0.9, 0.86, 0.86, 0.81, 0.77, 0.78, 0.79]"
64,43,80,1,1,43802021-12-17 05:30:00,queue,21,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 05:30:00,2021-12-17 07:30:00,2.5,0 days 02:00:00,True,False,,,,0.75,30.0,22.5,5.0,0.0,basic,1717366054.387352,"[1.0, 0.76, 0.67, 0.75]"
65,61,61,1,1,61612021-12-17 16:00:00,queue,74,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 16:00:00,2021-12-17 18:00:00,7.25,0 days 02:00:00,True,False,,,,0.56,33.0,18.5,14.5,0.0,premium,1717366054.390125,"[1.0, 0.54, 0.56]"
66,81,31,1,1,81312021-12-17 12:00:00,queue,66,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 12:00:00,2021-12-17 12:30:00,1.25,0 days 00:30:00,True,True,2021-12-17 12:30:00,2021-12-17 13:00:00,301.36,1.0,2.25,2.25,0.625,0.625,basic,1717366054.392661,"[1.0, 1.0]"
67,70,197,1,1,701972021-12-17 14:30:00,queue,51,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 14:30:00,2021-12-17 15:00:00,2.0,0 days 00:30:00,True,True,2021-12-17 14:30:00,2021-12-17 15:00:00,491.57,0.2,16.0,3.125,1.0,1.0,basic,1717366054.395872,"[0, 0.0, 0.09, 0.18, 0.14, 0.2]"
68,79,421,1,1,794212021-12-17 06:30:00,queue,76,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 06:30:00,2021-12-17 07:30:00,5.0,0 days 01:00:00,True,False,,,,0.79,86.5,68.5,5.0,0.0,premium,1717366054.399102,"[1.0, 1.0, 1.0, 0.95, 0.9, 0.9, 0.86, 0.86, 0.81, 0.77, 0.78, 0.79]"
69,13,63,1,1,13632021-12-17 10:00:00,queue,117,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 10:00:00,2021-12-17 14:00:00,3.75,0 days 04:00:00,True,False,,,,0.51,39.25,20.125,15.0,0.0,basic,1717366054.401577,"[1.0, 0.57, 0.51]"
70,10,163,1,1,101632021-12-17 06:00:00,queue,73,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 06:00:00,2021-12-17 08:30:00,1.5,0 days 02:00:00,True,True,2021-12-17 06:30:00,2021-12-17 08:30:00,3683.76,0.23,18.0,4.125,3.0,3.0,basic,1717366054.404012,"[0, 0.05, 0.27, 0.24, 0.27, 0.23]"
